,Province,Crop,len
11,Cagayan,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
12,Isabela,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
13,Nueva Vizcaya,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",159
14,Quirino,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",148
15,Aurora,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",148
16,Bataan,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Papaya', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coffee', 'Sweet Potato']",128
17,Bulacan,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
18,Nueva Ecija,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
19,Pampanga,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coffee', 'Sweet Potato']",141
20,Tarlac,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coffee', 'Sweet Potato']",141
21,Zambales,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Sweet Potato']",121
22,Batangas,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
23,Cavite,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
24,Laguna,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
25,Quezon,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
26,Rizal,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
27,Marinduque,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
28,Occidental Mindoro,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",187
29,Oriental Mindoro,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
30,Palawan,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",189
31,Romblon,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
32,Albay,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",148
33,Camarines Norte,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Sweet Potato']",139
34,Camarines Sur,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",148
35,Catanduanes,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Sweet Potato']",139
36,Masbate,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
37,Sorsogon,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",148
38,Aklan,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
39,Antique,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
40,Capiz,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
41,Guimaras,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Papaya', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coffee', 'Sweet Potato']",110
42,Iloilo,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
43,Negros Occidental,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
44,Bohol,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Sweet Potato']",152
